Room,Building,,Contract Status Date,,,Class Year,,College,,,
082,SPELMAN,,,"Apr 1, 2013 10:21:20 AM",,2014,UPPER,,,,
082,SPELMAN,,,"Apr 1, 2013 10:21:20 AM",,2014,UPPER,,,,
082,SPELMAN,,,"Apr 1, 2013 10:21:20 AM",,2014,UPPER,,,,
082,SPELMAN,,,"Apr 1, 2013 10:21:20 AM",,2014,UPPER,,,,
214,1903,,,"Apr 1, 2013 10:24:23 AM",,2014,UPPER,,,,
026,SPELMAN,,,"Apr 1, 2013 10:25:28 AM",,2014,UPPER,,,,
026,SPELMAN,,,"Apr 1, 2013 10:25:28 AM",,2014,UPPER,,,,
026,SPELMAN,,,"Apr 1, 2013 10:25:28 AM",,2014,UPPER,,,,
026,SPELMAN,,,"Apr 1, 2013 10:25:28 AM",,2014,UPPER,,,,
112,DOD,,,"Apr 1, 2013 10:27:23 AM",,2014,UPPER,,,,
170,SCULLY,,,"Apr 1, 2013 10:28:36 AM",,2014,UPPER,,,,
170,SCULLY,,,"Apr 1, 2013 10:28:36 AM",,2014,UPPER,,,,
034,SPELMAN,,,"Apr 1, 2013 10:31:42 AM",,2014,UPPER,,,,
034,SPELMAN,,,"Apr 1, 2013 10:31:42 AM",,2014,UPPER,,,,
034,SPELMAN,,,"Apr 1, 2013 10:31:42 AM",,2014,UPPER,,,,
034,SPELMAN,,,"Apr 1, 2013 10:31:42 AM",,2014,UPPER,,,,
035,SPELMAN,,,"Apr 1, 2013 10:35:43 AM",,2014,UPPER,,,,
035,SPELMAN,,,"Apr 1, 2013 10:35:43 AM",,2014,UPPER,,,,
035,SPELMAN,,,"Apr 1, 2013 10:35:43 AM",,2015,UPPER,,,,
035,SPELMAN,,,"Apr 1, 2013 10:35:43 AM",,2015,UPPER,,,,
043,SPELMAN,,,"Apr 1, 2013 10:36:07 AM",,2014,UPPER,,,,
043,SPELMAN,,,"Apr 1, 2013 10:36:07 AM",,2014,UPPER,,,,
043,SPELMAN,,,"Apr 1, 2013 10:36:07 AM",,2014,UPPER,,,,
043,SPELMAN,,,"Apr 1, 2013 10:36:07 AM",,2014,UPPER,,,,
A34,LITTLE,,,"Apr 1, 2013 10:36:56 AM",,2014,UPPER,,,,
E401,WILF,,,"Apr 1, 2013 10:45:32 AM",,2014,UPPER,,,,
112,PYNE,,,"Apr 1, 2013 10:48:51 AM",,2015,UPPER,,,,
063,SPELMAN,,,"Apr 1, 2013 10:52:34 AM",,2014,UPPER,,,,
063,SPELMAN,,,"Apr 1, 2013 10:52:34 AM",,2014,UPPER,,,,
063,SPELMAN,,,"Apr 1, 2013 10:52:34 AM",,2014,UPPER,,,,
063,SPELMAN,,,"Apr 1, 2013 10:52:34 AM",,2014,UPPER,,,,
078,SPELMAN,,,"Apr 1, 2013 10:52:38 AM",,2014,UPPER,,,,
078,SPELMAN,,,"Apr 1, 2013 10:52:38 AM",,2014,UPPER,,,,
078,SPELMAN,,,"Apr 1, 2013 10:52:38 AM",,2014,UPPER,,,,
078,SPELMAN,,,"Apr 1, 2013 10:52:38 AM",,2014,UPPER,,,,
065,SPELMAN,,,"Apr 1, 2013 11:03:47 AM",,2015,UPPER,,,,
065,SPELMAN,,,"Apr 1, 2013 11:03:47 AM",,2014,UPPER,,,,
065,SPELMAN,,,"Apr 1, 2013 11:03:47 AM",,2014,UPPER,,,,
065,SPELMAN,,,"Apr 1, 2013 11:03:47 AM",,2015,UPPER,,,,
066,SPELMAN,,,"Apr 1, 2013 11:03:51 AM",,2014,UPPER,,,,
066,SPELMAN,,,"Apr 1, 2013 11:03:51 AM",,2014,UPPER,,,,
066,SPELMAN,,,"Apr 1, 2013 11:03:51 AM",,2014,UPPER,,,,
066,SPELMAN,,,"Apr 1, 2013 11:03:51 AM",,2014,UPPER,,,,
086,PATTON,,,"Apr 1, 2013 11:11:09 AM",,2014,UPPER,,,,
273,SCULLY,,,"Apr 1, 2013 11:11:17 AM",,2014,UPPER,,,,
073,SPELMAN,,,"Apr 1, 2013 11:11:19 AM",,2014,UPPER,,,,
073,SPELMAN,,,"Apr 1, 2013 11:11:19 AM",,2014,UPPER,,,,
073,SPELMAN,,,"Apr 1, 2013 11:11:19 AM",,2014,UPPER,,,,
073,SPELMAN,,,"Apr 1, 2013 11:11:19 AM",,2014,UPPER,,,,
064,SPELMAN,,,"Apr 1, 2013 11:12:52 AM",,2014,UPPER,,,,
064,SPELMAN,,,"Apr 1, 2013 11:12:52 AM",,2014,UPPER,,,,
064,SPELMAN,,,"Apr 1, 2013 11:12:52 AM",,2014,UPPER,,,,
064,SPELMAN,,,"Apr 1, 2013 11:12:52 AM",,2014,UPPER,,,,
A24,LITTLE,,,"Apr 1, 2013 11:16:00 AM",,2014,UPPER,,,,
A36,LITTLE,,,"Apr 1, 2013 11:16:05 AM",,2014,UPPER,,,,
041,SPELMAN,,,"Apr 1, 2013 11:20:56 AM",,2014,UPPER,,,,
041,SPELMAN,,,"Apr 1, 2013 11:20:56 AM",,2014,UPPER,,,,
041,SPELMAN,,,"Apr 1, 2013 11:20:56 AM",,2015,UPPER,,,,
041,SPELMAN,,,"Apr 1, 2013 11:20:56 AM",,2014,UPPER,,,,
114,DOD,,,"Apr 1, 2013 11:21:25 AM",,2014,UPPER,,,,
