Room 	Date/Time Drawn
FORBES A426	Apr 12, 2017 3:11:23 PM
1938 121	Apr 12, 2017 11:12:48 PM
BAKER E315	Apr 13, 2017 9:02:51 AM
BLOOMBERG 429	Apr 13, 2017 9:02:55 AM
BLOOMBERG 323	Apr 13, 2017 9:03:09 AM
1981 F216	Apr 13, 2017 9:04:45 AM
BLOOMBERG 467	Apr 13, 2017 9:04:50 AM
WENDELL C217	Apr 13, 2017 9:05:22 AM
LAURITZEN D108	Apr 13, 2017 9:06:47 AM
BLOOMBERG 481	Apr 13, 2017 9:09:24 AM
HARGADON G407A	Apr 13, 2017 9:10:45 AM
WENDELL B409	Apr 13, 2017 9:14:11 AM
WENDELL B424	Apr 13, 2017 9:14:12 AM
BAKER E309	Apr 13, 2017 9:16:39 AM
1976 D112	Apr 13, 2017 9:17:43 AM
BLOOMBERG 423	Apr 13, 2017 9:19:31 AM
WENDELL B310	Apr 13, 2017 9:19:46 AM
BLOOMBERG 121	Apr 13, 2017 9:20:46 AM
BLOOMBERG 304	Apr 13, 2017 9:20:52 AM
1981 F302	Apr 13, 2017 9:20:59 AM
LAURITZEN D308	Apr 13, 2017 9:21:16 AM
LAURITZEN D302	Apr 13, 2017 9:25:45 AM
BLOOMBERG 181	Apr 13, 2017 9:26:43 AM
BAKER S202	Apr 13, 2017 9:26:48 AM
WENDELL C216	Apr 13, 2017 9:30:12 AM
1967 B214	Apr 13, 2017 9:30:41 AM
WENDELL C206	Apr 13, 2017 9:32:01 AM
WENDELL C207	Apr 13, 2017 9:33:05 AM
WILF E108	Apr 13, 2017 9:35:04 AM
WILF E102	Apr 13, 2017 9:35:49 AM
YOSELOFF A205	Apr 13, 2017 9:36:22 AM
1967 B208	Apr 13, 2017 9:36:23 AM
BAKER E221	Apr 13, 2017 9:36:48 AM
BAKER E109	Apr 13, 2017 9:38:31 AM
BLOOMBERG 318	Apr 13, 2017 9:40:57 AM
BLOOMBERG 320	Apr 13, 2017 9:40:57 AM
HARGADON G406	Apr 13, 2017 9:41:47 AM
BAKER E321	Apr 13, 2017 9:42:29 AM
1981 F328	Apr 13, 2017 9:43:28 AM
BAKER E314	Apr 13, 2017 9:43:42 AM
BAKER E323	Apr 13, 2017 9:43:56 AM
BAKER E306	Apr 13, 2017 9:44:27 AM
1915 422	Apr 13, 2017 9:51:17 AM
WENDELL B416	Apr 13, 2017 9:51:29 AM
BLOOMBERG 329	Apr 13, 2017 9:52:15 AM
BLOOMBERG 140	Apr 13, 2017 9:54:05 AM
1915 615	Apr 13, 2017 9:56:28 AM
WENDELL C306	Apr 13, 2017 9:58:21 AM
BLOOMBERG 191	Apr 13, 2017 9:58:38 AM
LAURITZEN D107	Apr 13, 2017 10:00:43 AM
1915 421	Apr 13, 2017 10:01:56 AM
BLOOMBERG 458	Apr 13, 2017 10:06:00 AM
HARGADON G101D	Apr 13, 2017 10:07:25 AM
WENDELL B318	Apr 13, 2017 10:07:34 AM
BLOOMBERG 132	Apr 13, 2017 10:08:24 AM
WENDELL C302	Apr 13, 2017 10:08:28 AM
WENDELL B410	Apr 13, 2017 10:09:25 AM
WENDELL B412	Apr 13, 2017 10:10:18 AM
WENDELL B420	Apr 13, 2017 10:10:29 AM
WENDELL B422	Apr 13, 2017 10:12:17 AM
YOSELOFF A202	Apr 13, 2017 10:17:03 AM
BLOOMBERG 182	Apr 13, 2017 10:17:29 AM
BAKER S405	Apr 13, 2017 10:17:59 AM
LAURITZEN D418	Apr 13, 2017 10:19:21 AM
LAURITZEN D420	Apr 13, 2017 10:19:47 AM
BAKER E223	Apr 13, 2017 10:23:30 AM
WENDELL B428	Apr 13, 2017 10:23:34 AM
1915 614	Apr 13, 2017 10:23:40 AM
BAKER S206	Apr 13, 2017 10:24:04 AM
HARGADON G402	Apr 13, 2017 10:24:09 AM
1915 624	Apr 13, 2017 10:25:28 AM
BLOOMBERG 239	Apr 13, 2017 10:26:05 AM
1967 B204	Apr 13, 2017 10:29:03 AM
LAURITZEN D201	Apr 13, 2017 10:30:21 AM
BAKER S402	Apr 13, 2017 10:32:38 AM
WENDELL B317	Apr 13, 2017 10:33:15 AM
1976 D212	Apr 13, 2017 10:33:59 AM
LAURITZEN D109	Apr 13, 2017 10:35:09 AM
LAURITZEN D105	Apr 13, 2017 10:35:13 AM
1915 611	Apr 13, 2017 10:36:54 AM
1915 511	Apr 13, 2017 10:37:00 AM
1915 514	Apr 13, 2017 10:37:11 AM
LAURITZEN D307	Apr 13, 2017 10:41:31 AM
1915 623	Apr 13, 2017 10:41:45 AM
BLOOMBERG 454	Apr 13, 2017 10:42:33 AM
YOSELOFF A203	Apr 13, 2017 10:42:38 AM
1915 521	Apr 13, 2017 10:43:08 AM
1915 513	Apr 13, 2017 10:43:47 AM
1981 F107	Apr 13, 2017 10:45:29 AM
BAKER E108	Apr 13, 2017 10:45:54 AM
FISHER A308	Apr 13, 2017 10:49:52 AM
1915 423	Apr 13, 2017 10:50:55 AM
1915 425	Apr 13, 2017 10:50:55 AM
1915 424	Apr 13, 2017 10:51:01 AM
1915 414	Apr 13, 2017 10:51:15 AM
FISHER A316	Apr 13, 2017 10:52:19 AM
FISHER A312	Apr 13, 2017 10:52:50 AM
FISHER A305	Apr 13, 2017 10:53:09 AM
BAKER S302	Apr 13, 2017 10:55:25 AM
BOGLE C202	Apr 13, 2017 10:55:27 AM
WILF E202	Apr 13, 2017 11:00:47 AM
WILF E205	Apr 13, 2017 11:02:07 AM
LAURITZEN D305	Apr 13, 2017 11:04:12 AM
FISHER A302	Apr 13, 2017 11:06:27 AM
FISHER A321	Apr 13, 2017 11:07:41 AM
1981 F103	Apr 13, 2017 11:07:52 AM
WENDELL B311	Apr 13, 2017 11:09:18 AM
1915 524	Apr 13, 2017 11:11:03 AM
1915 413	Apr 13, 2017 11:13:08 AM
WILF E305	Apr 13, 2017 11:15:40 AM
LAURITZEN D203	Apr 13, 2017 11:16:08 AM
BAKER S406	Apr 13, 2017 11:16:11 AM
BAKER S404	Apr 13, 2017 11:16:41 AM
BAKER E313	Apr 13, 2017 11:16:53 AM
BAKER E311	Apr 13, 2017 11:17:23 AM
WILF E302	Apr 13, 2017 11:20:33 AM
1915 621	Apr 13, 2017 11:23:14 AM
1967 B302	Apr 13, 2017 11:24:44 AM
1967 B304	Apr 13, 2017 11:24:58 AM
1981 F105	Apr 13, 2017 11:30:41 AM
BAKER E308	Apr 13, 2017 11:34:03 AM
1967 B202	Apr 13, 2017 11:34:26 AM
BAKER E319	Apr 13, 2017 11:35:28 AM
1981 F116	Apr 13, 2017 11:37:10 AM
WENDELL B314	Apr 13, 2017 11:40:50 AM
1915 523	Apr 13, 2017 11:42:38 AM
1967 B213	Apr 13, 2017 11:42:39 AM
BLOOMBERG 347	Apr 13, 2017 11:44:33 AM
1981 F007	Apr 13, 2017 11:45:48 AM
LAURITZEN D303	Apr 13, 2017 11:52:47 AM
HARGADON G101A	Apr 13, 2017 11:53:24 AM
FISHER A317	Apr 13, 2017 11:54:04 AM
1915 512	Apr 13, 2017 11:56:38 AM
WENDELL B205	Apr 13, 2017 11:59:37 AM
HARGADON G407B	Apr 13, 2017 11:59:38 AM
MURLEY T302	Apr 13, 2017 12:02:11 PM
1915 522	Apr 13, 2017 12:02:48 PM
1981 F024	Apr 13, 2017 12:02:57 PM
1915 622	Apr 13, 2017 12:03:22 PM
1981 F114	Apr 13, 2017 12:04:14 PM
1981 F113	Apr 13, 2017 12:05:55 PM
1915 612	Apr 13, 2017 12:08:12 PM
YOSELOFF A113	Apr 13, 2017 12:08:49 PM
1981 F117	Apr 13, 2017 12:11:46 PM
1981 F226	Apr 13, 2017 12:13:35 PM
1967 B212	Apr 13, 2017 12:14:18 PM
LAURITZEN D112	Apr 13, 2017 12:15:02 PM
1981 F018	Apr 13, 2017 12:18:47 PM
1976 D312	Apr 13, 2017 12:22:15 PM
WENDELL B315	Apr 13, 2017 12:22:49 PM
1976 D215	Apr 13, 2017 12:23:35 PM
WENDELL B411	Apr 13, 2017 12:28:18 PM
WENDELL B415	Apr 13, 2017 12:28:20 PM
WENDELL B320	Apr 13, 2017 12:28:24 PM
YOSELOFF A115	Apr 13, 2017 12:32:00 PM
WENDELL C204	Apr 13, 2017 12:40:40 PM
YOSELOFF A215	Apr 13, 2017 12:41:57 PM
BAKER E310	Apr 13, 2017 12:42:07 PM
BLOOMBERG 335	Apr 13, 2017 12:46:46 PM
1976 D110	Apr 13, 2017 12:56:00 PM
1967 B211	Apr 13, 2017 12:56:49 PM
BLOOMBERG 240	Apr 13, 2017 1:01:06 PM
BLOOMBERG 330	Apr 13, 2017 1:05:56 PM
BOGLE C102	Apr 13, 2017 1:10:41 PM
BLOOMBERG 333	Apr 13, 2017 1:33:45 PM
BOGLE C204	Apr 13, 2017 3:25:46 PM
BLAIR 061	Apr 14, 2017 9:01:32 AM
BLAIR B71	Apr 14, 2017 9:01:34 AM
BLAIR B52	Apr 14, 2017 9:02:00 AM
HOLDER 012	Apr 14, 2017 9:05:15 AM
BLAIR B72	Apr 14, 2017 9:05:25 AM
HOLDER 068	Apr 14, 2017 9:08:06 AM
BLAIR B51	Apr 14, 2017 9:08:32 AM
LITTLE 015	Apr 14, 2017 9:12:19 AM
HOLDER 079	Apr 14, 2017 9:13:11 AM
HOLDER 076	Apr 14, 2017 9:13:13 AM
EDWARDS 101	Apr 14, 2017 9:13:29 AM
WITHERSPOON 421	Apr 14, 2017 9:14:45 AM
EDWARDS 103	Apr 14, 2017 9:15:02 AM
BLAIR A02	Apr 14, 2017 9:16:25 AM
EDWARDS 117	Apr 14, 2017 9:17:11 AM
BUYERS B13	Apr 14, 2017 9:17:39 AM
EDWARDS 512	Apr 14, 2017 9:19:13 AM
WITHERSPOON 417	Apr 14, 2017 9:21:05 AM
BLAIR B82	Apr 14, 2017 9:21:38 AM
BLAIR B73	Apr 14, 2017 9:22:19 AM
WITHERSPOON 517	Apr 14, 2017 9:23:14 AM
LITTLE 323	Apr 14, 2017 9:31:13 AM
EDWARDS 513	Apr 14, 2017 9:31:26 AM
BLAIR B81	Apr 14, 2017 9:33:49 AM
BLAIR 096	Apr 14, 2017 9:34:49 AM
LITTLE 305	Apr 14, 2017 9:39:30 AM
WITHERSPOON 217	Apr 14, 2017 9:39:47 AM
LITTLE 387	Apr 14, 2017 9:41:48 AM
EDWARDS 507	Apr 14, 2017 9:44:59 AM
EDWARDS 508	Apr 14, 2017 9:45:06 AM
HOLDER 142	Apr 14, 2017 9:45:30 AM
EDWARDS 510	Apr 14, 2017 9:45:57 AM
WITHERSPOON 317	Apr 14, 2017 9:46:53 AM
WITHERSPOON 422	Apr 14, 2017 9:47:03 AM
BLAIR 093	Apr 14, 2017 9:47:51 AM
WITHERSPOON 416	Apr 14, 2017 9:49:58 AM
WITHERSPOON 414	Apr 14, 2017 9:50:07 AM
BLAIR B91	Apr 14, 2017 9:50:28 AM
BLAIR 097	Apr 14, 2017 9:53:30 AM
HAMILTON 325	Apr 14, 2017 9:54:35 AM
HAMILTON 322	Apr 14, 2017 9:54:57 AM
BLAIR B92	Apr 14, 2017 9:56:57 AM
EDWARDS 511	Apr 14, 2017 9:57:45 AM
HOLDER 075	Apr 14, 2017 9:59:28 AM
WITHERSPOON 510	Apr 14, 2017 9:59:47 AM
WITHERSPOON 512	Apr 14, 2017 10:00:12 AM
HOLDER 067	Apr 14, 2017 10:00:31 AM
HOLDER 056	Apr 14, 2017 10:02:51 AM
EDWARDS 505	Apr 14, 2017 10:04:12 AM
EDWARDS 112	Apr 14, 2017 10:05:44 AM
BLAIR 098	Apr 14, 2017 10:05:48 AM
JOLINE 231	Apr 14, 2017 10:06:20 AM
LITTLE 325	Apr 14, 2017 10:15:01 AM
LITTLE 327	Apr 14, 2017 10:15:01 AM
JOLINE 434	Apr 14, 2017 10:15:20 AM
WITHERSPOON 321	Apr 14, 2017 10:15:26 AM
CAMPBELL 006A	Apr 14, 2017 10:15:34 AM
HOLDER 061	Apr 14, 2017 10:17:30 AM
EDWARDS 514	Apr 14, 2017 10:23:11 AM
EDWARDS 509	Apr 14, 2017 10:23:16 AM
EDWARDS 317	Apr 14, 2017 10:23:46 AM
WITHERSPOON 516	Apr 14, 2017 10:24:55 AM
LITTLE 329	Apr 14, 2017 10:25:11 AM
LITTLE 063	Apr 14, 2017 10:25:36 AM
CAMPBELL 005B	Apr 14, 2017 10:25:38 AM
WITHERSPOON 117	Apr 14, 2017 10:25:55 AM
WITHERSPOON 222	Apr 14, 2017 10:26:12 AM
HOLDER 074	Apr 14, 2017 10:31:35 AM
JOLINE 232	Apr 14, 2017 10:33:51 AM
CAMPBELL 052	Apr 14, 2017 10:34:38 AM
BLAIR 045	Apr 14, 2017 10:36:06 AM
HOLDER 011	Apr 14, 2017 10:36:44 AM
JOLINE 233	Apr 14, 2017 10:37:45 AM
BUYERS 024	Apr 14, 2017 10:38:26 AM
EDWARDS 515	Apr 14, 2017 10:40:27 AM
LITTLE 301	Apr 14, 2017 10:47:22 AM
HOLDER 115	Apr 14, 2017 10:47:52 AM
LITTLE 309	Apr 14, 2017 10:49:16 AM
WITHERSPOON 312	Apr 14, 2017 10:50:20 AM
WITHERSPOON 006	Apr 14, 2017 10:51:45 AM
JOLINE 323	Apr 14, 2017 10:52:54 AM
LITTLE 074	Apr 14, 2017 10:53:14 AM
BUYERS 033	Apr 14, 2017 10:56:12 AM
EDWARDS 102	Apr 14, 2017 11:01:06 AM
LITTLE 313	Apr 14, 2017 11:01:42 AM
BLAIR 095	Apr 14, 2017 11:03:40 AM
CAMPBELL 052B	Apr 14, 2017 11:04:51 AM
LITTLE 321	Apr 14, 2017 11:05:00 AM
CAMPBELL 063	Apr 14, 2017 11:05:19 AM
WITHERSPOON 403	Apr 14, 2017 11:11:59 AM
BLAIR 051	Apr 14, 2017 11:12:46 AM
WITHERSPOON 408	Apr 14, 2017 11:18:32 AM
CAMPBELL 004B	Apr 14, 2017 11:18:57 AM
WITHERSPOON 410	Apr 14, 2017 11:19:04 AM
CAMPBELL 052A	Apr 14, 2017 11:20:19 AM
WITHERSPOON 303	Apr 14, 2017 11:20:55 AM
HOLDER 107	Apr 14, 2017 11:21:35 AM
CAMPBELL 061	Apr 14, 2017 11:22:51 AM
BLAIR 305	Apr 14, 2017 11:32:52 AM
BLAIR 302	Apr 14, 2017 11:33:20 AM
BUYERS B21	Apr 14, 2017 11:36:40 AM
BLAIR 301	Apr 14, 2017 11:37:33 AM
LITTLE 073	Apr 14, 2017 11:40:23 AM
WITHERSPOON 405	Apr 14, 2017 11:42:51 AM
WITHERSPOON 316	Apr 14, 2017 11:43:14 AM
WITHERSPOON 121	Apr 14, 2017 11:45:29 AM
HOLDER 078	Apr 14, 2017 11:46:44 AM
LITTLE 051	Apr 14, 2017 11:50:39 AM
LITTLE 053	Apr 14, 2017 11:50:44 AM
HOLDER 047	Apr 14, 2017 11:53:59 AM
WITHERSPOON 415	Apr 14, 2017 11:54:10 AM
HOLDER 097	Apr 14, 2017 11:54:50 AM
WITHERSPOON 203	Apr 14, 2017 11:55:19 AM
BLAIR 064	Apr 14, 2017 11:56:37 AM
WITHERSPOON 201	Apr 14, 2017 12:00:56 PM
WITHERSPOON 401	Apr 14, 2017 12:00:57 PM
BLAIR 081	Apr 14, 2017 12:08:54 PM
BLAIR 102	Apr 14, 2017 12:12:56 PM
HOLDER 126	Apr 14, 2017 12:15:21 PM
HOLDER 086	Apr 14, 2017 12:15:47 PM
BLAIR 091	Apr 14, 2017 12:16:45 PM
BLAIR 083	Apr 14, 2017 12:17:10 PM
HOLDER 096	Apr 14, 2017 12:17:12 PM
WITHERSPOON 211	Apr 14, 2017 12:28:00 PM
BLAIR 084	Apr 14, 2017 12:28:20 PM
WITHERSPOON 514	Apr 14, 2017 12:30:34 PM
CAMPBELL 003A	Apr 14, 2017 12:30:40 PM
BUYERS 023	Apr 14, 2017 12:34:48 PM
JOLINE 313	Apr 14, 2017 12:35:34 PM
HAMILTON 124	Apr 14, 2017 12:35:36 PM
CAMPBELL 013	Apr 14, 2017 12:42:40 PM
WITHERSPOON 114	Apr 14, 2017 12:44:05 PM
HOLDER 136	Apr 14, 2017 12:46:15 PM
HOLDER 124	Apr 14, 2017 12:47:27 PM
LITTLE 012	Apr 14, 2017 12:48:13 PM
CAMPBELL 062	Apr 14, 2017 12:51:43 PM
HOLDER 046	Apr 14, 2017 12:55:32 PM
JOLINE 321	Apr 14, 2017 12:56:12 PM
LITTLE 033	Apr 14, 2017 12:59:36 PM
LITTLE 031	Apr 14, 2017 1:00:37 PM
WITHERSPOON 210	Apr 14, 2017 1:02:20 PM
WITHERSPOON 214	Apr 14, 2017 1:02:20 PM
WITHERSPOON 208	Apr 14, 2017 1:02:23 PM
CAMPBELL 003C	Apr 14, 2017 1:02:38 PM
WITHERSPOON 221	Apr 14, 2017 1:02:52 PM
BLAIR 092	Apr 14, 2017 1:10:03 PM
LITTLE 013	Apr 14, 2017 1:11:04 PM
HOLDER 063	Apr 14, 2017 1:13:17 PM
BLAIR B61	Apr 14, 2017 1:17:53 PM
HOLDER 025	Apr 14, 2017 1:19:20 PM
WITHERSPOON 306	Apr 14, 2017 1:19:22 PM
HOLDER 024	Apr 14, 2017 1:19:49 PM
WITHERSPOON 014	Apr 14, 2017 1:24:26 PM
HOLDER 027	Apr 14, 2017 1:33:41 PM
WITHERSPOON 206	Apr 14, 2017 1:38:54 PM
WITHERSPOON 205	Apr 14, 2017 1:40:16 PM
HOLDER 022	Apr 14, 2017 1:43:13 PM
BUYERS 017	Apr 14, 2017 1:46:19 PM
HOLDER 066	Apr 14, 2017 1:52:02 PM
HOLDER 081	Apr 14, 2017 1:53:39 PM
HOLDER 095	Apr 14, 2017 2:04:20 PM
CAMPBELL 022	Apr 14, 2017 2:11:37 PM
BUYERS 032	Apr 14, 2017 2:12:32 PM
CAMPBELL 003B	Apr 14, 2017 2:27:31 PM
HOLDER 073	Apr 14, 2017 2:33:02 PM
WITHERSPOON 305	Apr 14, 2017 2:35:09 PM
HOLDER 041	Apr 14, 2017 2:40:25 PM
HOLDER 043	Apr 14, 2017 2:42:14 PM
CAMPBELL 026	Apr 14, 2017 2:50:15 PM
HOLDER 143	Apr 14, 2017 2:58:07 PM
BUYERS 016	Apr 14, 2017 3:11:17 PM
HOLDER 026	Apr 14, 2017 3:16:53 PM
HOLDER 042	Apr 14, 2017 3:19:49 PM
HOLDER 062	Apr 14, 2017 3:25:48 PM
HOLDER 092	Apr 14, 2017 3:33:04 PM
WITHERSPOON 215	Apr 14, 2017 3:41:51 PM
HOLDER 111	Apr 14, 2017 3:42:33 PM
WITHERSPOON 515	Apr 14, 2017 3:45:45 PM
WITHERSPOON 409	Apr 14, 2017 3:54:48 PM
HOLDER 037	Apr 14, 2017 3:56:16 PM
WITHERSPOON 209	Apr 14, 2017 4:16:42 PM
CAMPBELL 028	Apr 14, 2017 4:28:04 PM
CAMPBELL 015	Apr 14, 2017 4:28:20 PM
PATTON 076	Apr 15, 2017 9:01:41 AM
WRIGHT 306	Apr 15, 2017 9:01:57 AM
WRIGHT 303	Apr 15, 2017 9:02:00 AM
BROWN 210	Apr 15, 2017 9:02:37 AM
DOD 403	Apr 15, 2017 9:10:54 AM
BROWN 410	Apr 15, 2017 9:14:57 AM
BROWN 429	Apr 15, 2017 9:14:58 AM
1901 411	Apr 15, 2017 9:15:33 AM
PYNE 623	Apr 15, 2017 9:15:43 AM
1901 404	Apr 15, 2017 9:16:07 AM
FOULKE 324	Apr 15, 2017 9:27:12 AM
FOULKE 321	Apr 15, 2017 9:28:01 AM
DOD 200S	Apr 15, 2017 9:33:46 AM
PATTON 313	Apr 15, 2017 9:36:09 AM
DOD 311	Apr 15, 2017 9:36:44 AM
DOD 316	Apr 15, 2017 9:36:50 AM
CUYLER 413	Apr 15, 2017 9:37:04 AM
1903 523A	Apr 15, 2017 9:44:52 AM
CUYLER 403	Apr 15, 2017 9:45:48 AM
CUYLER 511	Apr 15, 2017 9:46:38 AM
LITTLE 095	Apr 15, 2017 9:58:42 AM
SCULLY 420	Apr 15, 2017 10:00:40 AM
SCULLY 133	Apr 15, 2017 10:01:20 AM
DOD 300N	Apr 15, 2017 10:01:43 AM
1903 133	Apr 15, 2017 10:03:18 AM
PATTON T05	Apr 15, 2017 10:04:06 AM
DOD 204	Apr 15, 2017 10:05:19 AM
DOD 205	Apr 15, 2017 10:05:28 AM
PYNE 332	Apr 15, 2017 10:09:53 AM
PATTON 310	Apr 15, 2017 10:14:01 AM
PATTON T12	Apr 15, 2017 10:14:44 AM
PATTON 408	Apr 15, 2017 10:23:08 AM
1903 421	Apr 15, 2017 10:34:43 AM
CUYLER 633	Apr 15, 2017 10:35:32 AM
CUYLER 521	Apr 15, 2017 10:35:50 AM
1901 112	Apr 15, 2017 10:44:36 AM
BROWN 119	Apr 15, 2017 10:47:32 AM
1903 422	Apr 15, 2017 10:53:54 AM
1903 243	Apr 15, 2017 10:55:38 AM
DOD 401	Apr 15, 2017 10:55:57 AM
DOD 411	Apr 15, 2017 11:00:18 AM
FOULKE 316	Apr 15, 2017 11:07:06 AM
FOULKE 317	Apr 15, 2017 11:08:12 AM
PATTON 064	Apr 15, 2017 11:09:52 AM
PATTON 040	Apr 15, 2017 11:10:24 AM
DOD 413	Apr 15, 2017 11:18:34 AM
DOD 402S	Apr 15, 2017 11:23:36 AM
1903 522	Apr 15, 2017 11:30:02 AM
1903 212	Apr 15, 2017 11:38:21 AM
1903 531	Apr 15, 2017 11:39:23 AM
1903 216	Apr 15, 2017 11:39:58 AM
PYNE 511	Apr 15, 2017 11:44:09 AM
1903 532	Apr 15, 2017 12:00:23 PM
LOCKHART 111	Apr 15, 2017 12:01:02 PM
SCULLY 102	Apr 15, 2017 12:05:02 PM
1903 222	Apr 15, 2017 12:07:42 PM
SCULLY 230	Apr 15, 2017 12:12:57 PM
PATTON 075	Apr 15, 2017 12:14:06 PM
1903 401	Apr 15, 2017 12:19:05 PM
LOCKHART 103	Apr 15, 2017 12:19:08 PM
LAUGHLIN 626	Apr 15, 2017 12:27:20 PM
CUYLER 438	Apr 15, 2017 12:30:22 PM
CUYLER 437	Apr 15, 2017 12:33:01 PM
LITTLE 399	Apr 15, 2017 12:34:07 PM
DOD 215	Apr 15, 2017 12:45:46 PM
SCULLY 331	Apr 15, 2017 12:45:58 PM
DOD 200N	Apr 15, 2017 12:46:48 PM
DOD 400S	Apr 15, 2017 12:52:00 PM
PATTON T08	Apr 15, 2017 12:52:52 PM
DOD 400N	Apr 15, 2017 12:52:58 PM
PYNE 621	Apr 15, 2017 12:54:16 PM
PYNE 221	Apr 15, 2017 12:54:23 PM
SCULLY 233	Apr 15, 2017 1:02:38 PM
HENRY 217	Apr 15, 2017 1:04:12 PM
1903 528	Apr 15, 2017 1:05:43 PM
SCULLY 122	Apr 15, 2017 1:06:01 PM
1903 527	Apr 15, 2017 1:06:19 PM
SCULLY 330	Apr 15, 2017 1:15:07 PM
DOD 310	Apr 15, 2017 1:16:12 PM
PYNE 211	Apr 15, 2017 1:19:02 PM
DOD 312	Apr 15, 2017 1:19:12 PM
DOD 317	Apr 15, 2017 1:21:49 PM
LITTLE 131	Apr 15, 2017 1:26:47 PM
BROWN 111	Apr 15, 2017 1:26:54 PM
1901 405	Apr 15, 2017 1:43:56 PM
PATTON 307	Apr 15, 2017 1:45:58 PM
SCULLY 321	Apr 15, 2017 1:53:47 PM
SCULLY 448	Apr 15, 2017 1:53:51 PM
SCULLY 323	Apr 15, 2017 1:54:51 PM
BROWN 312	Apr 15, 2017 1:58:09 PM
SCULLY 117	Apr 15, 2017 2:03:46 PM
PATTON 083	Apr 15, 2017 2:04:29 PM
LITTLE 146	Apr 15, 2017 2:10:29 PM
SCULLY 144	Apr 15, 2017 2:13:55 PM
SCULLY 131	Apr 15, 2017 2:13:56 PM
1903 228	Apr 15, 2017 2:19:25 PM
LOCKHART 101	Apr 15, 2017 2:23:01 PM
1903 414	Apr 15, 2017 2:27:14 PM
PATTON 041	Apr 15, 2017 2:31:33 PM
HENRY 225	Apr 15, 2017 2:42:30 PM
LITTLE 115	Apr 15, 2017 2:44:21 PM
PYNE 613	Apr 15, 2017 2:48:43 PM
1903 517	Apr 15, 2017 2:49:01 PM
HENRY 215	Apr 15, 2017 2:49:45 PM
DOD 202	Apr 15, 2017 2:58:04 PM
WRIGHT 302	Apr 15, 2017 3:06:52 PM
WRIGHT 404	Apr 15, 2017 3:07:07 PM
WRIGHT 301	Apr 15, 2017 3:07:19 PM
SCULLY 158	Apr 15, 2017 3:08:25 PM
1903 237	Apr 15, 2017 3:16:03 PM
1901 325	Apr 15, 2017 3:17:00 PM
FOULKE 305	Apr 15, 2017 3:18:03 PM
DOD 304	Apr 15, 2017 3:26:43 PM
DOD 305	Apr 15, 2017 3:26:55 PM
LAUGHLIN 523	Apr 15, 2017 3:28:07 PM
DOD 301	Apr 15, 2017 3:28:37 PM
1901 115	Apr 15, 2017 3:38:30 PM
SCULLY 334	Apr 15, 2017 3:40:02 PM
1903 215	Apr 15, 2017 3:45:09 PM
BROWN 321	Apr 15, 2017 3:45:10 PM
HENRY 115	Apr 15, 2017 3:54:17 PM
SCULLY 221	Apr 15, 2017 3:57:28 PM
SCULLY 223	Apr 15, 2017 3:59:17 PM
LOCKHART 312	Apr 15, 2017 3:59:47 PM
SCULLY 436	Apr 15, 2017 4:00:27 PM
PATTON 087	Apr 15, 2017 4:08:19 PM
DOD 214	Apr 15, 2017 4:11:02 PM
DOD 201S	Apr 15, 2017 4:11:23 PM
1901 313	Apr 15, 2017 4:16:30 PM
1903 231	Apr 15, 2017 4:16:41 PM
1901 312	Apr 15, 2017 4:16:57 PM
PYNE 322	Apr 15, 2017 4:26:57 PM
PYNE 321	Apr 15, 2017 4:27:35 PM
PYNE 213	Apr 15, 2017 4:32:32 PM
PYNE 212	Apr 15, 2017 4:33:52 PM
PYNE 313	Apr 15, 2017 4:34:37 PM
1903 516	Apr 15, 2017 4:39:29 PM
PATTON 089	Apr 15, 2017 4:44:08 PM
CUYLER 401	Apr 15, 2017 4:47:01 PM
DOD 417	Apr 15, 2017 5:13:26 PM
SCULLY 217	Apr 15, 2017 5:21:12 PM
SCULLY 121	Apr 15, 2017 5:22:45 PM
SCULLY 333	Apr 15, 2017 5:22:54 PM
SCULLY 327	Apr 15, 2017 5:23:53 PM
SCULLY 125	Apr 15, 2017 5:24:03 PM
SCULLY 325	Apr 15, 2017 5:24:37 PM
SCULLY 231	Apr 15, 2017 5:24:51 PM
SCULLY 127	Apr 15, 2017 5:25:10 PM
HENRY 116	Apr 15, 2017 5:32:12 PM
PYNE 344	Apr 15, 2017 5:32:17 PM
FOULKE 214	Apr 15, 2017 5:32:44 PM
LAUGHLIN 624	Apr 15, 2017 5:34:23 PM
SCULLY 261	Apr 15, 2017 5:39:54 PM
1903 241	Apr 15, 2017 5:47:14 PM
PYNE 421	Apr 15, 2017 5:47:31 PM
PYNE 343	Apr 15, 2017 5:49:35 PM
PYNE 632	Apr 15, 2017 5:50:29 PM
PYNE 426	Apr 15, 2017 5:57:48 PM
DOD 207	Apr 18, 2017 9:02:15 AM
HENRY 125	Apr 18, 2017 9:05:28 AM
SCULLY 328	Apr 18, 2017 9:16:38 AM
PATTON T01	Apr 18, 2017 9:22:37 AM
WRIGHT 401	Apr 18, 2017 9:23:51 AM
PYNE 611	Apr 18, 2017 9:26:14 AM
PYNE 704	Apr 18, 2017 9:26:54 AM
PYNE 616	Apr 18, 2017 9:27:07 AM
1903 314	Apr 18, 2017 9:42:43 AM
1901 421	Apr 18, 2017 9:53:35 AM
BROWN 213	Apr 18, 2017 10:00:19 AM
DOD 415	Apr 18, 2017 10:01:18 AM
