Room 	Date/Time Drawn
LITTLE A16	Apr 7, 2017 4:47:52 PM
PATTON 081	Apr 7, 2017 4:53:29 PM
LOCKHART 324	Apr 7, 2017 4:58:17 PM
LOCKHART 323	Apr 7, 2017 4:58:21 PM
LOCKHART 211	Apr 7, 2017 5:01:45 PM
HENRY 101	Apr 7, 2017 5:06:10 PM
PATTON 085	Apr 7, 2017 5:13:10 PM
WILF E402	Apr 7, 2017 5:13:46 PM
PYNE 123	Apr 7, 2017 5:20:23 PM
LITTLE A20	Apr 7, 2017 5:20:42 PM
PYNE 135	Apr 7, 2017 5:32:41 PM
1903 132	Apr 7, 2017 5:33:05 PM
LOCKHART 213	Apr 7, 2017 5:48:44 PM
DOD 113	Apr 7, 2017 5:50:38 PM
LITTLE A10	Apr 7, 2017 5:55:27 PM
WILF E405	Apr 7, 2017 6:03:31 PM
PATTON 090	Apr 7, 2017 6:24:29 PM
LOCKHART 232	Apr 7, 2017 6:52:08 PM
DOD 103	Apr 7, 2017 6:59:41 PM
1903 123	Apr 7, 2017 7:01:41 PM
LITTLE A14	Apr 7, 2017 7:08:50 PM
LOCKHART 231	Apr 7, 2017 7:12:39 PM
PYNE 124	Apr 7, 2017 7:44:04 PM
FISHER A303	Apr 8, 2017 9:00:48 AM
BLOOMBERG 474	Apr 8, 2017 9:01:01 AM
HAMILTON 121	Apr 8, 2017 9:02:56 AM
1976 D304	Apr 8, 2017 9:04:45 AM
HAMILTON 221	Apr 8, 2017 9:08:28 AM
1981 F201	Apr 8, 2017 9:08:53 AM
BLOOMBERG 309	Apr 8, 2017 9:09:46 AM
BLOOMBERG 311	Apr 8, 2017 9:09:46 AM
FISHER A224	Apr 8, 2017 9:10:10 AM
LITTLE 047	Apr 8, 2017 9:12:34 AM
WILF E103	Apr 8, 2017 9:13:37 AM
BAKER E113	Apr 8, 2017 9:13:58 AM
BLOOMBERG 465	Apr 8, 2017 9:16:47 AM
BLOOMBERG 461	Apr 8, 2017 9:16:52 AM
WENDELL C214	Apr 8, 2017 9:17:13 AM
BLOOMBERG 463	Apr 8, 2017 9:17:40 AM
FISHER A323	Apr 8, 2017 9:18:35 AM
BLOOMBERG 430	Apr 8, 2017 9:21:10 AM
1976 D114	Apr 8, 2017 9:22:33 AM
WENDELL B407	Apr 8, 2017 9:22:36 AM
BLOOMBERG 327	Apr 8, 2017 9:25:10 AM
LITTLE 385	Apr 8, 2017 9:25:49 AM
BLOOMBERG 124	Apr 8, 2017 9:26:50 AM
1981 F301	Apr 8, 2017 9:28:39 AM
LITTLE 057	Apr 8, 2017 9:30:29 AM
BLOOMBERG 413	Apr 8, 2017 9:30:46 AM
BLOOMBERG 409	Apr 8, 2017 9:34:52 AM
BLOOMBERG 451	Apr 8, 2017 9:36:25 AM
FISHER A201	Apr 8, 2017 9:36:49 AM
LITTLE 395	Apr 8, 2017 9:38:41 AM
BLOOMBERG 459	Apr 8, 2017 9:40:41 AM
BLOOMBERG 192	Apr 8, 2017 9:41:28 AM
LITTLE 077	Apr 8, 2017 9:42:31 AM
WENDELL B312	Apr 8, 2017 9:42:53 AM
BLOOMBERG 447	Apr 8, 2017 9:46:34 AM
BLOOMBERG 379	Apr 8, 2017 9:48:19 AM
BAKER E215	Apr 8, 2017 9:49:43 AM
BAKER E217	Apr 8, 2017 9:49:46 AM
LITTLE 303	Apr 8, 2017 9:50:08 AM
BAKER S106	Apr 8, 2017 9:52:26 AM
