0007 006	27	16
0007 014	55	31
0007 117	20	7
0007 121	35	20
0007 201	39	14
0007 203	38	13
0007 205	58	9
0007 206	57	32
0007 208	48	25
0007 209	80	15
0007 210	46	23
0007 211	41	6
0007 214	47	24
0007 215	76	13
0007 217	8	3
0007 221	50	27
0007 222	21	1
0007 303	32	11
0007 306	53	29
0007 312	26	15
0007 316	34	19
0007 317	10	4
0007 321	17	12
0007 403	29	10
0007 410	31	18
0007 414	12	8
0007 416	11	7
0007 417	6	1
0007 421	5	5
0007 510	14	10
0007 515	78	14
0007 516	19	13
0007 517	7	2
0010 101	37	25
0010 102	73	49
0010 103	38	26
0010 105	29	20
0010 106	13	9
0010 108	24	17
0010 109	22	15
0010 113	23	16
0010 117	40	8
0010 502	18	13
0010 505	55	39
0010 507	47	33
0010 508	48	34
0010 509	62	44
0010 510	49	35
0010 511	54	38
0010 512	41	28
0010 513	43	30
0010 514	61	43
0010 515	68	11
0012 101N	223	25
0012 101S	42	2
0012 102	58	38
0012 102N	44	3
0012 102S	38	1
0012 103	79	20
0012 104	51	35
0012 105	34	26
0012 112	57	37
0012 113	74	18
0012 114	30	22
0012 115	21	17
0012 200	35	27
0012 200N	88	52
0012 201N	297	31
0012 201S	104	10
0012 202N	259	28
0012 202S	146	15
0012 204	85	49
0012 205	86	50
0012 207	93	57
0012 212	49	33
0012 213	435	70
0012 300N	22	16
0012 301N	311	32
0012 301S	193	21
0012 302N	221	24
0012 302S	331	37
0012 303	487	83
0012 304	94	52
0012 305	95	53
0012 306	195	116
0012 307	202	122
0012 310	66	37
0012 311	14	9
0012 312	68	38
0012 313	458	78
0012 316	15	10
0012 317	69	39
0012 400N	57	32
0012 400S	56	31
0012 401	35	3
0012 401N	201	22
0012 401S	329	35
0012 402N	141	13
0012 402S	41	3
0012 403	5	1
0012 406	196	117
0012 407	220	135
0012 411	36	4
0012 413	40	5
0012 415	137	79
0012 416	197	118
0012 417	115	63
0014 111	71	6
0014 112	596	75
0014 113	222	136
0014 114	319	200
0014 117	318	199
0014 119	32	2
0014 121	355	216
0014 122	569	63
0014 123	257	160
0014 125	258	161
0014 126	359	218
0014 127	475	46
0014 128	574	66
0014 210	4	2
0014 211	597	76
0014 212	441	42
0014 213	136	78
0014 219	140	12
0014 220	144	14
0014 221	582	68
0014 222	300	188
0014 226	277	172
0014 227	533	54
0014 228	493	50
0014 311	606	80
0014 312	75	7
0014 318	310	28
0014 319	344	41
0014 320	587	72
0014 321	98	8
0014 322	302	189
0014 325	268	167
0014 326	264	163
0014 327	588	73
0014 328	360	43
0014 410	6	3
0014 412	598	77
0014 413	306	192
0014 414	138	80
0014 418	560	59
0014 419	514	51
0014 420	339	40
0014 421	600	79
0014 422	341	206
0014 425	299	187
0014 426	298	186
0014 427	483	48
0014 428	599	78
0014 429	7	4
0019 045	67	47
0019 051	79	11
0019 061	36	7
0019 064	88	14
0019 081	89	18
0019 083	92	21
0019 084	93	15
0019 091	91	20
0019 092	101	17
0019 093	50	9
0019 095	75	10
0019 096	44	3
0019 097	51	4
0019 098	56	5
0019 102	90	19
0019 114	27	18
0019 301	84	14
0019 302	83	13
0019 305	82	12
0019 A02	39	27
0021 012	96	4
0021 013	102	26
