0012 202S	3	Upperclass	Pub	2	460	No	316	27	181	11
0012 204	1	Independent	Pub	2	125	No	89	67	70	55
0012 205	1	Independent	Pub	2	125	No	86	64	71	56
0012 207	1	Independent	Pub	2	120	No	93	71	73	58
0012 212	1	Independent	Pub	2	120	No
0012 213	2	Upperclass	Pub	2	260	No	25	6	330	57
0012 216	1	Independent	Pub	2	120	No	84	62	72	57
0012 300	1	Upperclass	Pub	3	125	No	315	233	278	184
0012 300N	1	Upperclass	Pub	3	150	No	120	80	65	41
0012 301N	3	Upperclass	Pub	3	460	No	267	19	162	10
0012 301S	3	Upperclass	Pub	3	460	No	345	29	250	17
0012 302	1	Upperclass	Pub	3	120	No	348	258	468	319
0012 302N	3	Upperclass	Pub	3	460	No	268	20	277	22
0012 302S	3	Upperclass	Pub	3	460	No	193	13	188	13
0012 303	2	Upperclass	Pub	3	260	No	346	41	554	88
0012 304	1	Upperclass	Pub	3	125	No	368	254
0012 305	1	Upperclass	Pub	3	125	No	464	316
0012 306	1	Upperclass	Pub	3	120	No	349	259	420	293
0012 307	1	Upperclass	Pub	3	120	No	449	317	477	326
0012 310	1	Upperclass	Pub	3	125	No	221	158	451	307
0012 311	1	Upperclass	Pub	3	125	No	266	194	279	185
0012 312	1	Upperclass	Pub	3	120	No	347	257	393	275
0012 313	2	Upperclass	Pub	3	260	No	414	49	567	92
0012 314	1	Upperclass	Pub	3	125	No	220	157	280	186
0012 315	1	Upperclass	Pub	3	125	No	278	204	343	236
0012 316	1	Upperclass	Pub	3	120	No	337	230
0012 317	1	Upperclass	Pub	3	120	No	372	276	344	237
0012 400N	1	Upperclass	Pub	4	150	No	68	45	87	55
0012 400S	1	Upperclass	Pub	4	150	No	49	31	103	67
0012 401	4	Upperclass	Pub	4	735	No	2	1	20	3
0012 401N	3	Upperclass	Pub	4	460	No	47	4	38	3
0012 401S	3	Upperclass	Pub	4	460	No	123	8	29	1
0012 402N	3	Upperclass	Pub	4	460	No	69	5	256	19
0012 402S	3	Upperclass	Pub	4	460	No	71	6	287	23
0012 403	4	Upperclass	Pub	4	705	No	8	2	18	2
0012 404	1	Upperclass	Pub	4	125	No	219	156	285	191
0012 405	1	Upperclass	Pub	4	125	No	271	197	180	118
0012 406	1	Upperclass	Pub	4	120	No	403	297	329	224
0012 407	1	Upperclass	Pub	4	120	No	289	194
0012 411	4	Upperclass	Pub	4	735	No	36	3	28	4
0012 413	4	Upperclass	Pub	4	705	No	55	4	12	1
0012 414	1	Upperclass	Pub	4	125	No	124	82	286	192
0012 415	1	Upperclass	Pub	4	125	No	125	83	179	117
0012 416	1	Upperclass	Pub	4	120	No	284	190
0012 417	1	Upperclass	Pub	4	120	No	467	330	288	193
0014 111	3	Upperclass	Pub	1	497	No	93	7	66	4
0014 112	4	Upperclass	Pub	1	505	No	670	74	687	61
0014 113	1	Upperclass	Pub	1	125	No	324	239	454	309
0014 114	1	Upperclass	Pub	1	125	No	327	242	263	176
0014 117	1	Upperclass	Pub	1	119	No	73	46	500	339
0014 118	1	Upperclass	Pub	1	123	No	126	81
0014 119	4	Upperclass	Prv	1	837	No	75	5	82	7
0014 121	1	Upperclass	Pub	1	112	No	442	312	456	310
0014 122	4	Upperclass	Pub	1	518	No	674	75	615	44
0014 123	1	Upperclass	Pub	1	123	No	328	243	475	324
0014 125	1	Upperclass	Pub	1	128	No	326	241	476	325
0014 126	1	Upperclass	Pub	1	108	No	516	350
0014 127	4	Upperclass	Pub	1	536	No	441	24	667	54
0014 128	4	Upperclass	Pub	1	509	No	443	25	668	55
0014 210	1	Upperclass	Pub	2	228	No	37	23	7	5
0014 211	4	Upperclass	Pub	2	501	No	687	81	707	66
0014 212	4	Upperclass	Pub	2	518	No	615	55	630	45
0014 213	1	Upperclass	Pub	2	126	No	327	222
0014 214	1	Upperclass	Pub	2	127	No	50	30
0014 219	3	Upperclass	Pub	2	495	No	396	35	199	15
0014 220	3	Upperclass	Pub	2	497	No	397	36	326	26
0014 221	4	Upperclass	Pub	2	505	No	637	61	273	17
0014 222	1	Upperclass	Pub	2	125	No	146	100	272	180
0014 225	1	Upperclass	Pub	2	130	No	144	98	48	28
0014 226	1	Upperclass	Pub	2	127	No	145	99
0014 227	4	Upperclass	Pub	2	505	No	631	59	695	64
0014 228	4	Upperclass	Pub	2	519	No	622	57	694	63
0014 311	4	Upperclass	Pub	3	502	No	690	82	731	76
0014 312	3	Upperclass	Pub	3	500	No	424	40	305	24
0014 314	1	Upperclass	Pub	3	129	No	322	238	306	204
0014 318	4	Upperclass	Pub	3	507	No	634	60	691	62
0014 319	3	Upperclass	Pub	3	490	No	426	41	352	28
0014 320	4	Upperclass	Pub	3	503	No	679	78	733	78
0014 321	3	Upperclass	Pub	3	498	No	306	25	308	25
0014 322	1	Upperclass	Pub	3	124	No	466	329	473	323
0014 325	1	Upperclass	Pub	3	132	No	190	132	325	221
0014 326	1	Upperclass	Pub	3	124	No	192	134	408	288
0014 327	4	Upperclass	Pub	3	501	No	641	62	591	41
0014 328	3	Upperclass	Pub	3	495	No	434	44	335	27
0014 329	1	Upperclass	Pub	3	237	No	35	22	11	7
0014 410	1	Upperclass	Pub	4	230	No	22	13	34	18
0014 411	4	Upperclass	Pub	4	512	No	680	79	721	74
0014 412	4	Upperclass	Pub	4	516	No	661	72	720	73
0014 413	1	Upperclass	Pub	4	128	No	497	338
0014 414	1	Upperclass	Pub	4	134	No	494	336
0014 417	1	Upperclass	Pub	4	120	No	427	310	543	362
0014 418	4	Upperclass	Pub	4	523	No	547	37	664	52
0014 419	4	Upperclass	Pub	4	520	No	656	68	663	51
0014 420	3	Upperclass	Pub	4	500	No	434	39
0014 421	4	Upperclass	Pub	4	507	No	678	77	719	72
0014 422	1	Upperclass	Pub	4	126	No	534	357
0014 425	1	Upperclass	Pub	4	129	No	524	353
0014 426	1	Upperclass	Pub	4	122	No	542	361
0014 427	4	Upperclass	Pub	4	530	No	613	54	717	71
0014 428	4	Upperclass	Pub	4	508	No	692	84	732	77
0014 429	1	Upperclass	Pub	4	220	No	50	32	36	20
0019 045	1	Mathey	Pub	1	101	Yes	116	78	30	24
0019 051	4	Mathey	Pub	1	517	Yes	124	27	125	29
0019 053	4	Mathey	Pub	1	503	Yes	124	28
0019 061	2	Mathey	Pub	1	277	Yes	119	13	104	16
0019 064	2	Mathey	Pub	2	213	Yes
0019 065	4	Mathey	Pub	1	499	Yes	125	28	126	30
0019 081	4	Mathey	Pub	1	501	No	113	21	120	25
0019 082	4	Mathey	Pub	2	523	No	101	18	67	8
0019 083	4	Mathey	Pub	1	504	No	112	20	109	23
0019 084	2	Mathey	Pub	2	213	No	126	16	108	17
0019 091	4	Mathey	Pub	1	504	No	120	25	106	21
0019 092	2	Mathey	Pub	2	213	No	127	18
0019 093	2	Mathey	Pub	1	271	No	102	10	73	12
0019 095	4	Mathey	Pub	1	540	No	98	16	68	9
0019 096	4	Mathey	Pub	2	603	No	57	5	66	7
0019 097	4	Mathey	Pub	1	592	No	90	13	69	10
0019 098	4	Mathey	Pub	2	573	No	58	6	64	6
0019 102	4	Mathey	Pub	2	541	No	92	14	70	11
